time,node0,node1,node2,node3
1321,0.046702,0.054125,0.054123,0.050451
1325,0.047802,0.054829,0.053894,0.048808
1329,0.047386,0.05404,0.052886,0.049391
1333,0.047958,0.053917,0.05203,0.049311
1337,0.048076,0.054175,0.052061,0.050407
1341,0.041956,0.058959,0.044449,0.06001
1345,0.041551,0.057884,0.044983,0.059681
1349,0.042081,0.058002,0.044719,0.058869
1353,0.042023,0.056671,0.045126,0.059609
1357,0.042279,0.057018,0.045029,0.059894
1361,0.048064,0.057688,0.048581,0.051118
1365,0.047201,0.057805,0.048042,0.050701
1369,0.04753,0.058802,0.04836,0.050097
1373,0.046779,0.057118,0.048024,0.04996
1377,0.047558,0.05687,0.048042,0.050052
1381,0.0471,0.057329,0.047966,0.0501
1385,0.047461,0.05663,0.046835,0.049985
1389,0.048053,0.057042,0.04791,0.051531
1393,0.047474,0.057946,0.047405,0.050024
1397,0.048171,0.058536,0.047482,0.050068
1401,0.048585,0.057922,0.047087,0.050451
1405,0.048219,0.05822,0.052849,0.044076
1409,0.041955,0.058015,0.054478,0.049672
1413,0.041885,0.058905,0.053772,0.049408
1417,0.040178,0.059364,0.05475,0.04949
1421,0.044835,0.059005,0.050335,0.050435
1425,0.043899,0.059295,0.049848,0.049913
1429,0.040142,0.05976,0.054009,0.048585
1433,0.040641,0.059685,0.05256,0.049488
1437,0.041492,0.061097,0.053274,0.049102
1441,0.041304,0.060002,0.052948,0.049376
1445,0.042325,0.060564,0.05277,0.049593
1449,0.042925,0.060181,0.053243,0.050761
1453,0.048997,0.060809,0.051357,0.044746
1457,0.04856,0.060218,0.047641,0.050082
1461,0.047905,0.059949,0.047348,0.0492
1465,0.048293,0.060359,0.04819,0.049779
1469,0.0482,0.060502,0.048562,0.050656
1473,0.046656,0.059824,0.04639,0.049619
1477,0.046279,0.059801,0.048268,0.049548
1481,0.046599,0.060129,0.04877,0.048872
1485,0.046608,0.06066,0.047977,0.048855
1489,0.046512,0.060328,0.047784,0.048377
1493,0.045769,0.059305,0.048148,0.048147
1497,0.045909,0.059012,0.047798,0.047967
1501,0.047423,0.059503,0.048004,0.047861
1505,0.046249,0.059574,0.048641,0.049029
1509,0.046508,0.060064,0.048488,0.048315
1513,0.046436,0.060254,0.047772,0.048247
1517,0.046074,0.060828,0.048355,0.048823
1521,0.046221,0.061505,0.049012,0.048673
1525,0.046681,0.061229,0.047686,0.04866
1529,0.048734,0.061701,0.049029,0.049136
1533,0.047192,0.063037,0.048961,0.048934
1537,0.047458,0.063049,0.048941,0.048618
1541,0.0474,0.063007,0.049657,0.048612
1545,0.046892,0.062615,0.049042,0.047923
1549,0.04663,0.062669,0.048599,0.048221
1553,0.046163,0.062549,0.049633,0.048387
1557,0.046351,0.062934,0.049889,0.048241
1561,0.046318,0.061679,0.049846,0.049454
1565,0.046344,0.060904,0.050203,0.049005
1569,0.046421,0.060894,0.051187,0.049504
1573,0.046659,0.06094,0.049963,0.04907
1577,0.04667,0.060849,0.050593,0.049552
1581,0.046076,0.06018,0.050839,0.049484
1585,0.046874,0.06094,0.051954,0.049291
1589,0.045851,0.060158,0.051154,0.048666
1593,0.046143,0.059963,0.052081,0.051218
1597,0.045517,0.059916,0.051557,0.04941
1601,0.045147,0.059415,0.050446,0.049746
1605,0.04492,0.05897,0.050221,0.04917
1609,0.045503,0.058085,0.050481,0.048367
1613,0.045683,0.058422,0.050244,0.048904
1617,0.045376,0.058879,0.051892,0.048749
1621,0.045286,0.058817,0.0504,0.048015
1625,0.045533,0.058479,0.050762,0.04872
1629,0.045683,0.058136,0.050664,0.049008
1633,0.04572,0.058676,0.051343,0.049811
1637,0.045483,0.058942,0.050598,0.047886
1641,0.045474,0.058783,0.050686,0.048048
1645,0.045564,0.057764,0.0506,0.049228
1649,0.045812,0.05764,0.050266,0.048974
1653,0.04568,0.058943,0.050375,0.048317
1657,0.045658,0.058475,0.050068,0.048878
1661,0.045312,0.058661,0.050595,0.048564
1665,0.04498,0.058789,0.050983,0.048262
1669,0.04481,0.058797,0.051455,0.048431
1673,0.045394,0.058382,0.052026,0.04811
1677,0.04512,0.058906,0.051816,0.048115
1681,0.045597,0.058743,0.051569,0.049047
1685,0.04487,0.059549,0.051437,0.0496
1689,0.044891,0.058379,0.052259,0.04922
1693,0.044135,0.059904,0.05213,0.048586
1697,0.043863,0.058413,0.054268,0.049478
1701,0.04383,0.059541,0.053338,0.048934
1705,0.043723,0.060196,0.054326,0.049174
1709,0.043263,0.060999,0.053178,0.049467
1713,0.043237,0.05872,0.052609,0.048903
1717,0.04338,0.060309,0.052466,0.049464
1721,0.044084,0.059996,0.051002,0.049235
1725,0.043369,0.060467,0.05232,0.050276
1729,0.043647,0.061308,0.05238,0.048182
1733,0.043632,0.061051,0.051596,0.048326
1737,0.043792,0.060898,0.04987,0.049557
1741,0.044173,0.060395,0.04985,0.049099
1745,0.04359,0.059386,0.049448,0.049088
1749,0.044148,0.059763,0.050425,0.048753
1753,0.043517,0.059551,0.049471,0.048928
1757,0.043739,0.058663,0.04924,0.048957
1761,0.043732,0.057607,0.048168,0.048353
1765,0.04345,0.058358,0.049146,0.048277
1769,0.044415,0.060054,0.051221,0.050869
1773,0.044831,0.058974,0.049075,0.049284
1777,0.044353,0.058397,0.050105,0.04785
1781,0.044048,0.058701,0.048808,0.047658
1785,0.044085,0.058982,0.04866,0.048086
1789,0.045722,0.059666,0.04996,0.048524
1793,0.044064,0.058975,0.048776,0.048111
1797,0.040671,0.058123,0.04785,0.053293
1801,0.043383,0.058618,0.049251,0.048638
1805,0.042973,0.058742,0.048779,0.048829
1809,0.042896,0.058873,0.04981,0.048104
1813,0.042133,0.058285,0.050792,0.047866
1817,0.04177,0.058715,0.050882,0.047886
1821,0.041806,0.058448,0.051138,0.048401
1825,0.041477,0.058452,0.052093,0.048294
1829,0.041419,0.057817,0.047547,0.052595
1833,0.045675,0.06356,0.048336,0.042606
1837,0.045176,0.063897,0.047175,0.042841
1841,0.045361,0.064683,0.047059,0.044231
1845,0.045742,0.0659,0.047762,0.04389
1849,0.045888,0.066697,0.046664,0.043816
1853,0.046591,0.066816,0.046383,0.04376
1857,0.045986,0.066687,0.047114,0.044018
1861,0.045428,0.064899,0.045534,0.043508
1865,0.045454,0.064972,0.045258,0.043536
1869,0.045732,0.065114,0.045936,0.04362
1873,0.045682,0.065425,0.046009,0.043594
1877,0.046053,0.063958,0.046351,0.043196
1881,0.045408,0.063178,0.045518,0.043549
1885,0.04533,0.063761,0.046356,0.0434
1889,0.041638,0.057185,0.050403,0.048483
1893,0.042027,0.05797,0.04992,0.048282
1897,0.042968,0.057349,0.04961,0.047429
1901,0.041223,0.056802,0.051376,0.048665
1905,0.042157,0.057316,0.051117,0.04726
1909,0.042582,0.056652,0.051151,0.049191
1913,0.042589,0.05638,0.050896,0.049161
1917,0.042473,0.056232,0.050707,0.049199
1921,0.042991,0.055907,0.051015,0.048931
1925,0.043017,0.056212,0.049718,0.048638
1929,0.042897,0.056047,0.05078,0.048493
1933,0.04357,0.055643,0.050526,0.048715
1937,0.042743,0.055785,0.051091,0.047654
1941,0.043169,0.056242,0.052022,0.049692
1945,0.043107,0.056465,0.051242,0.048444
1949,0.043149,0.056098,0.051111,0.048833
1953,0.042993,0.056985,0.047734,0.052657
1957,0.042613,0.057034,0.047548,0.053065
1961,0.041915,0.061409,0.043013,0.053643
1965,0.042136,0.057051,0.048553,0.053197
1969,0.042398,0.057279,0.047852,0.05312
1973,0.043015,0.057147,0.047127,0.053305
1977,0.042753,0.056812,0.048416,0.052873
1981,0.041672,0.057982,0.048648,0.054284
1985,0.04309,0.057563,0.052321,0.049475
1989,0.041985,0.057262,0.048352,0.054153
1993,0.042156,0.058113,0.048472,0.053725
1997,0.042317,0.05795,0.052301,0.049629
2001,0.043075,0.05852,0.051614,0.048796
2005,0.042871,0.058642,0.051375,0.049329
2009,0.042871,0.059553,0.051542,0.048606
2013,0.042832,0.058861,0.051134,0.049251
2017,0.042999,0.059691,0.050879,0.049347
2021,0.04313,0.059797,0.053829,0.048779
2025,0.043973,0.059793,0.050851,0.048661
2029,0.043971,0.060263,0.050435,0.04902
2033,0.045622,0.061852,0.051642,0.047889
2037,0.043974,0.05963,0.051726,0.049263
2041,0.043583,0.058521,0.04963,0.048187
2045,0.043607,0.059772,0.049307,0.048491
2049,0.043778,0.058789,0.050207,0.048008
2053,0.044071,0.057983,0.050669,0.046755
2057,0.043954,0.058361,0.049875,0.047508
2061,0.043753,0.058038,0.050628,0.046982
2065,0.043642,0.058787,0.049138,0.04721
2069,0.043584,0.058324,0.050061,0.047043
2073,0.042807,0.058106,0.050027,0.04742
2077,0.043139,0.057997,0.04937,0.048487
2081,0.043191,0.057412,0.049754,0.047652
2085,0.043464,0.0571,0.050349,0.047568
2089,0.043368,0.057421,0.049134,0.04754
2093,0.043011,0.058079,0.048921,0.046911
2097,0.043567,0.058034,0.050295,0.046893
2101,0.043661,0.058228,0.052273,0.046778
2105,0.043581,0.058435,0.049054,0.046859
2109,0.044207,0.057992,0.049248,0.047311
2113,0.04369,0.058024,0.048997,0.047507
2117,0.043289,0.058407,0.048482,0.04745
2121,0.043492,0.057639,0.049196,0.047135
2125,0.043247,0.057995,0.048827,0.046883
2129,0.044032,0.063932,0.047307,0.043282
2133,0.043774,0.063785,0.047611,0.04295
2137,0.044075,0.064624,0.047619,0.043353
2141,0.044235,0.063933,0.047041,0.043611
2145,0.043649,0.063596,0.047103,0.043936
2149,0.044915,0.062962,0.047219,0.044069
2153,0.044188,0.063321,0.046565,0.044048
2157,0.043892,0.063887,0.046888,0.044239
2161,0.044265,0.064304,0.046765,0.04483
2165,0.043404,0.065014,0.04596,0.044882
2169,0.045699,0.06604,0.046996,0.045229
2173,0.044244,0.065515,0.046436,0.043614
2177,0.043872,0.064895,0.04708,0.043107
2181,0.044434,0.066841,0.045565,0.044255
2185,0.043329,0.065853,0.046095,0.044482
2189,0.043391,0.065809,0.046591,0.04276
2193,0.043673,0.065361,0.046995,0.043202
2197,0.044211,0.065803,0.045702,0.043827
2201,0.043766,0.0653,0.046221,0.044205
2205,0.042304,0.058568,0.041484,0.057381
2209,0.042809,0.057819,0.041548,0.057784
2213,0.042807,0.057752,0.041703,0.057814
2217,0.050335,0.057787,0.04764,0.043835
2221,0.049852,0.056936,0.048239,0.044284
2225,0.042449,0.057037,0.042011,0.057439
2229,0.042284,0.05545,0.042425,0.058171
2233,0.042471,0.057334,0.040619,0.058334
2237,0.042732,0.057068,0.041975,0.05833
2241,0.050467,0.057084,0.048334,0.044392
2245,0.050475,0.057854,0.047605,0.043945
2249,0.049758,0.057202,0.048585,0.043581
2253,0.050252,0.057304,0.047981,0.043868
2257,0.05059,0.057363,0.048105,0.044189
2261,0.050712,0.058032,0.050415,0.044469
2265,0.052108,0.057835,0.048493,0.044444
2269,0.051155,0.057671,0.048601,0.043735
2273,0.051065,0.057786,0.048743,0.04386
2277,0.051573,0.057573,0.048669,0.043541
2281,0.051005,0.058043,0.048568,0.042521
2285,0.051646,0.058199,0.049611,0.042822
2289,0.051716,0.058523,0.042049,0.049775
2293,0.051309,0.057853,0.049758,0.042524
2297,0.051343,0.057317,0.049349,0.043422
2301,0.05192,0.059051,0.049784,0.043289
2305,0.052012,0.058345,0.04943,0.043463
2309,0.052019,0.058933,0.049963,0.044416
2313,0.050858,0.058357,0.048405,0.043742
