time,node0,node1
4823,0.050862,0.053483
4824,0.051336,0.053681
4825,0.051393,0.053179
4826,0.051271,0.053422
4827,0.051371,0.052928
4828,0.051618,0.053307
4829,0.050951,0.052958
4830,0.051504,0.05291
4831,0.051221,0.053959
4832,0.051647,0.053822
4833,0.051641,0.053291
4834,0.051351,0.053229
4835,0.051211,0.053348
4836,0.051432,0.05334
4837,0.052173,0.052807
4838,0.051999,0.052602
4839,0.052704,0.052855
4840,0.052205,0.053172
4841,0.051742,0.053142
4842,0.051657,0.053035
4843,0.052239,0.053679
4844,0.052091,0.053738
4845,0.051759,0.053676
4846,0.051463,0.05403
4847,0.051593,0.054529
4848,0.051623,0.054068
4849,0.054629,0.053768
4850,0.051382,0.054522
4851,0.051601,0.053799
4852,0.051174,0.054387
4853,0.051549,0.053783
4854,0.051182,0.053732
4855,0.051537,0.053528
4856,0.051598,0.054732
4857,0.051538,0.053662
4858,0.051727,0.053426
4859,0.051384,0.053253
4860,0.051966,0.053511
4861,0.051903,0.053321
4862,0.051928,0.053896
4863,0.051831,0.053385
4864,0.051842,0.053546
4865,0.051434,0.053087
4866,0.052144,0.053801
4867,0.051803,0.053839
4868,0.052569,0.054238
4869,0.051695,0.053128
4870,0.051767,0.053789
4871,0.051742,0.053721
4872,0.051313,0.053408
4873,0.051575,0.053978
4874,0.051806,0.053832
4875,0.052015,0.05321
4876,0.052052,0.053393
4877,0.051286,0.053012
4878,0.051956,0.053339
4879,0.051766,0.052955
4880,0.05195,0.05319
4881,0.05205,0.05286
4882,0.052466,0.052957
4883,0.052097,0.053354
4884,0.046096,0.059648
4885,0.046726,0.060019
4886,0.045911,0.060056
4887,0.045843,0.059741
4888,0.045412,0.060094
4889,0.046219,0.059786
4890,0.046209,0.059851
4891,0.045693,0.059833
4892,0.04548,0.05965
4893,0.045878,0.059388
4894,0.045756,0.060199
4895,0.045479,0.060889
4896,0.045486,0.059937
4897,0.04591,0.060027
4898,0.045378,0.060658
4899,0.044971,0.060347
4900,0.045651,0.060256
4901,0.046276,0.060111
4902,0.045681,0.059657
4903,0.045595,0.060914
4904,0.045886,0.060093
4905,0.046154,0.059387
4906,0.045604,0.059172
4907,0.046023,0.059332
4908,0.045667,0.059376
4909,0.045951,0.059614
4910,0.045675,0.059596
4911,0.045576,0.059376
4912,0.045259,0.059528
4913,0.045207,0.059869
4914,0.045875,0.060308
4915,0.045063,0.059257
4916,0.0455,0.059606
4917,0.045555,0.059566
4918,0.045531,0.059431
4919,0.04591,0.059607
4920,0.045627,0.059273
4921,0.04538,0.059573
4922,0.045639,0.059789
4923,0.045217,0.059768
4924,0.045993,0.059818
4925,0.045685,0.060194
4926,0.045999,0.05959
4927,0.046026,0.059404
4928,0.046083,0.059767
4929,0.046203,0.059428
4930,0.045705,0.059101
4931,0.046208,0.05971
4932,0.045926,0.060346
4933,0.045757,0.059847
4934,0.045388,0.06056
4935,0.045356,0.060118
4936,0.045805,0.060278
4937,0.045986,0.059959
4938,0.047173,0.060748
4939,0.045993,0.059194
4940,0.045728,0.058647
4941,0.045819,0.059694
4942,0.045358,0.059278
4943,0.045817,0.059363
4944,0.045839,0.05912
4945,0.048058,0.060341
4946,0.046184,0.060083
4947,0.045933,0.059164
4948,0.045532,0.059312
4949,0.045809,0.059609
4950,0.04536,0.059418
4951,0.045565,0.058904
4952,0.045967,0.059303
4953,0.046453,0.059285
4954,0.045906,0.059261
4955,0.045818,0.05938
4956,0.046022,0.059755
4957,0.045811,0.059657
4958,0.046024,0.059674
4959,0.045627,0.060019
4960,0.045663,0.05975
4961,0.045558,0.059671
4962,0.046012,0.059495
4963,0.045585,0.059485
4964,0.051969,0.053108
4965,0.052262,0.053493
4966,0.05228,0.053605
4967,0.052021,0.053336
4968,0.051903,0.053737
4969,0.051721,0.053337
4970,0.052245,0.053652
4971,0.051976,0.053638
4972,0.054077,0.056143
4973,0.054683,0.057527
4974,0.052393,0.054051
4975,0.052225,0.053434
4976,0.053809,0.054051
4977,0.051787,0.053988
4978,0.051911,0.053227
4979,0.051798,0.053464
4980,0.052031,0.053259
4981,0.051867,0.053438
4982,0.052232,0.053084
4983,0.051898,0.053147
4984,0.051757,0.053577
4985,0.051715,0.053605
4986,0.051959,0.053253
4987,0.051836,0.053451
4988,0.051676,0.053344
4989,0.052036,0.054049
4990,0.052438,0.053861
4991,0.052302,0.054136
4992,0.052044,0.05344
4993,0.052047,0.053875
4994,0.052629,0.05377
4995,0.053234,0.054057
4996,0.052499,0.054764
4997,0.051864,0.054008
4998,0.051983,0.05398
4999,0.052405,0.053947
5000,0.052385,0.054061
5001,0.052305,0.053395
5002,0.052536,0.053423
5003,0.045857,0.059749
5004,0.046348,0.059649
5005,0.046111,0.059937
5006,0.045964,0.05963
5007,0.04623,0.06022
5008,0.046436,0.05994
5009,0.045798,0.060145
5010,0.046737,0.060404
5011,0.046033,0.059992
5012,0.045986,0.060025
5013,0.045495,0.060018
